state,state_code,dayspostlegal,distance,income,legal,month,ppg,quality_score,quantity,year
Colorado,8,-275,2343.937,46402,0,1,6.1729430999999995,3,28.349524,2012
Colorado,8,-131,2339.0271,46402,0,6,4.2328753,2,28.349524,2012
Colorado,8,-149,2162.062,46402,0,6,11.287666999999999,2,3.5436904,2012
Colorado,8,10,2387.7419,46402,1,11,12.345886,3,28.349524,2012
Colorado,8,-218,2443.0171,46402,0,3,14.109585000000001,3,3.5436904,2012
Colorado,8,-162,2296.5459,46402,0,5,7.0547924,3,28.349524,2012
Colorado,8,-115,2343.937,46402,0,7,12.698627,3,3.5436904,2012
Colorado,8,-8,2343.937,46402,0,10,6.1729430999999995,2,28.349524,2012
Colorado,8,-163,2099.0959,46402,0,5,5.0033989000000005,2,19.986414,2012
Colorado,8,-170,2230.3601,46402,0,5,7.0547924,3,7.087380900000001,2012
Colorado,8,22,2358.2251,46402,1,11,11.287666999999999,2,3.5436904,2012
Colorado,8,-228,2300.5559,46402,0,3,11.287666999999999,3,7.087380900000001,2012
Colorado,8,59,2343.937,46402,1,12,59.955746,2,10.007381,2012
Colorado,8,-216,2339.0271,46402,0,3,7.0547924,3,3.5436904,2012
Colorado,8,23,2343.937,46402,1,11,8.818489999999999,3,28.349524,2012
Colorado,8,-204,2443.0171,46402,0,4,11.287666999999999,1,3.5436904,2012
Colorado,8,-158,2343.937,46402,0,5,11.287666999999999,3,7.087380900000001,2012
Colorado,8,39,2230.3601,46402,1,12,1.0021011999999998,2,4.9895163,2012
Colorado,8,-135,2387.7419,46402,0,6,10.021011,3,4.9895163,2012
Colorado,8,-213,2358.2251,46402,0,4,8.4657507,3,14.174762,2012
Colorado,8,-302,2343.937,46402,0,1,7.0547924,3,14.174762,2012
Colorado,8,-165,2230.3601,46402,0,5,10.021011,3,4.9895163,2012
Colorado,8,-44,2343.937,46402,0,9,2.1164377,2,28.349524,2012
Colorado,8,47,2387.7419,46402,1,12,2.8219168,2,3.5436904,2012
Colorado,8,6,2230.3601,46402,1,11,10.582189,3,28.349524,2012
Colorado,8,-182,2230.3601,46402,0,5,5.8202038,2,28.349524,2012
Colorado,8,31,2343.937,46402,1,12,3.5273962,2,28.349524,2012
Colorado,8,43,2400.217,46402,1,12,7.0547924,3,3.5436904,2012
Colorado,8,19,2432.855,46402,1,11,12.345886,3,28.349524,2012
Colorado,8,56,2230.3601,46402,1,12,7.6191754000000005,3,3.5436904,2012
Colorado,8,-269,2337.2581,46402,0,2,10.021011,3,4.9895163,2012
Colorado,8,-199,1901.9470000000001,46402,0,4,12.698627,2,7.087380900000001,2012
Colorado,8,21,2343.937,46402,1,11,10.582189,3,14.174762,2012
Colorado,8,60,2230.3601,46402,1,12,6.3493133,3,28.349524,2012
Colorado,8,53,2387.7419,46402,1,12,3.5273962,2,28.349524,2012
Colorado,8,-23,2443.0171,46402,0,10,20.458899,3,7.087380900000001,2012
Colorado,8,25,2343.937,46402,1,11,8.4657507,3,3.5436904,2012
Colorado,8,10,2343.937,46402,1,11,1.7636981,3,28.349524,2012
Colorado,8,-237,2337.2581,46402,0,3,9.876709,2,7.087380900000001,2012
Colorado,8,-210,2343.937,46402,0,4,16.033619,3,4.9895163,2012
